Authors,Title,Year,Source,DOI,ISSN
"B Farshidian, AR Ghahnavieh",A comprehensive framework for optimal planning of competing energy hubs based on the game theory,2021,Sustainable Energy Grids & Networks,10.1016/j.segan.2021.100513,2352-4677
"S. Tian, Y. Lu, X. Ge, Y. Zheng",An agent-based modeling approach combined with deep learning method in simulating household energy consumption,2021,Journal Of Building Engineering,10.1016/j.jobe.2021.103210,23527102 (ISSN)
"WZ Li, HX Li, SW Wang",An event-driven multi-agent based distributed optimal control strategy for HVAC systems in IoT-enabled smart buildings,2021,Automation In Construction,10.1016/j.autcon.2021.103919,1872-7891
"W. Devia, K. Agbossou, A. Cardenas",An evolutionary approach to modeling and control of space heating and thermal storage systems,2021,Energy And Buildings,10.1016/j.enbuild.2020.110674,03787788 (ISSN)
"Y Kou, YH Wang, ZH Bie, X Wang, T Ding",Distributed accelerated descent algorithm for energy resource coordination in multi-agent integrated energy systems,2021,Iet Generation Transmission & Distribution,10.1049/gtd2.12142,1751-8695
"B Li, JW Wang",Economic Dispatch Methods for Smart Grid Based on Improved SPEA2 and Improved NSGA2,2021,Frontiers In Energy Research,10.3389/fenrg.2021.767721,2296-598X
"GK Farinis, FD Kanellos",Integrated energy management system for Microgrids of building prosumers,2021,Electric Power Systems Research,10.1016/j.epsr.2021.107357,1873-2046
"A. Kumari, S. Tanwar",Multiagent-based secure energy management for multimedia grid communication using Q-learning,2021,Multimedia Tools And Applications,10.1007/s11042-021-11491-x,13807501 (ISSN)
"J. Dong, H. Wang, J. Yang, X. Lu, L. Gao, X. Zhou",Optimal Scheduling Framework of Electricity-Gas-Heat Integrated Energy System Based on Asynchronous Advantage Actor-Critic Algorithm,2021,Ieee Access,10.1109/ACCESS.2021.3114335,21693536 (ISSN)
"Y Kou, ZH Bie, GF Li, F Liu, JF Jiang",Reliability evaluation of multi-agent integrated energy systems with fully distributed communication,2021,Energy,10.1016/j.energy.2021.120123,1873-6785
"M Ahrens, F Kern, H Schmeck",Strategies for an Adaptive Control System to Improve Power Grid Resilience with Smart Buildings,2021,Energies,10.3390/en14154472,1996-1073
"Z. Wang, C. Zhang, H. Li, Y. Zhao",A multi agent-based optimal control method for combined cooling and power systems with thermal energy storage,2021,Building Simulation,10.1007/s12273-021-0768-9,19963599 (ISSN)
"H. Wang, C. Zhang, K. Li, X. Ma",Game theory-based multi-agent capacity optimization for integrated energy systems with compressed air energy storage,2021,Energy,10.1016/j.energy.2021.119777,03605442 (ISSN)
"W. Devia, K. Agbossou, A. Cardenas",An evolutionary approach to modeling and control of space heating and thermal storage systems,2021,Energy And Buildings,10.1016/j.enbuild.2020.110674,03787788 (ISSN)
"M Franceschelli, A Pilloni, A Gasparri",Multi-Agent Coordination of Thermostatically Controlled Loads by Smart Power Sockets for Electric Demand Side Management,2021,Ieee Transactions On Control Systems Technology,10.1109/TCST.2020.2974181,1063-6536
"L Yu, Y Sun, ZB Xu, C Shen, D Yue, T Jiang, XH Guan",Multi-Agent Deep Reinforcement Learning for HVAC Control in Commercial Buildings,2021,Ieee Transactions On Smart Grid,10.1109/TSG.2020.3011739,1949-3053
"S. Jin, S. Wang, F. Fang",Game theoretical analysis on capacity configuration for microgrid based on multi-agent system,2021,International Journal Of Electrical Power And Energy Systems,10.1016/j.ijepes.2020.106485,01420615 (ISSN)
"M.W. Khan, J. Wang, L. Xiong",Optimal energy scheduling strategy for multi-energy generation grid using multi-agent systems,2021,International Journal Of Electrical Power And Energy Systems,10.1016/j.ijepes.2020.106400,01420615 (ISSN)
"C.S. Lai, G. Locatelli, A. Pimm, X. Wu, L.L. Lai",A review on long-term electrical power system modeling with energy storage,2021,Journal Of Cleaner Production,10.1016/j.jclepro.2020.124298,09596526 (ISSN)
"S. Chen, H. Zhang, J. Guan, Z. Rao",Agent-based modeling and simulation of stochastic heat pump usage behavior in residential communities,2020,Building Simulation,10.1007/s12273-020-0625-2,19963599 (ISSN)
"M.J. Shabani, S.M. Moghaddas-Tafreshi","Fully-decentralized coordination for simultaneous hydrogen, power, and heat interaction in a multi-carrier-energy system considering private ownership",2020,Electric Power Systems Research,10.1016/j.epsr.2019.106099,03787796 (ISSN)
"J. Zhu, Z. Jing, T. Ji, N.A. Larik",Energy-economy coupled simulation approach and simulator based on invididual-based model,2020,Energies,10.3390/en13112771,19961073 (ISSN)
"C. Schnuelle, K. Kisjes, T. Stuehrmann, P. Thier, I. Nikolic, A. Von Gleich, S. Goessling-Reisemann",From niche to market-an agent-based modeling approach for the economic uptake of electro-fuels (power-to-fuel) in the german energy system,2020,Energies,10.3390/en13205522,19961073 (ISSN)
"SY Song, H Leng",Modeling the Household Electricity Usage Behavior and Energy-Saving Management in Severely Cold Regions,2020,Energies,10.3390/en13215581,
